,0
cons05.resp,4.336414579283725e-07
cons05.cvs,0.21914969141042762
cons05.cns,0.007358285452446968
cons05.ren,0.22564010737490464
cons05.hep,1.016895414478505e-07
cons05.hem,2.4935207993453903e-21
niv,0.004417552244763385
iv,0.00018368358208727245
hfnc,0.3645051732110882
ecls,1.0
inotrope,0.06419494922019811
crrt,1.0
sex,0.7569060717619462
ccc.neuro,0.22545925017805957
ccc.cardio,0.041848900431301066
ccc.pulmo,0.05311401198549455
ccc.uro,0.7543226027341402
ccc.gastro,1.0
ccc.haemimmuno,1.0
ccc.metabol,1.0
ccc.malform,0.7000171220330192
ccc.onco,1.4818234947033076e-51
ccc.neo,0.0015827699502218517
ccc.surg,0.016566924890740096
ccc.techdep,1.0
ccc.transplant,0.5726103287942285
abx.change.pen,1.1576016215994385e-05
abx.change.oxa,1.0
abx.change.pip,1.0
abx.change.cla,0.4887951120830637
abx.change.cxm,0.3603857484744082
abx.change.cro,0.000772292896259229
abx.change.fep,0.2983192621787904
abx.change.mem,0.005718912287136998
abx.change.amk,0.7004315775151508
abx.change.van,0.10812818751883793
abx.change.cip,0.06416043696693896
abx.change.lzd,1.0
abx.change.cli,1.0
abx.change.mtz,1.0
abx.change.sxt,1.0
focus_abdominal,0.2361888614341568
focus_clabsi,3.117733627229922e-08
focus_cns,0.3347940129098279
focus_earnosethroat,0.6153241948271619
focus_endocarditis,0.6153241948271619
focus_osteoarticular,0.019891566902416773
focus_other,0.05325331493297707
focus_pneumonia,0.0026851042730383
focus_primbsi,0.39071184505813344
focus_skin,1.0
focus_toxic_shock,1.0
focus_uti,0.006383732137243023
focus_wound,1.0
patho_candida,0.2355321654920577
patho_cons,0.626507269888134
patho_ecoli,0.0007850474700088657
patho_enterococcus,0.3645051732110882
patho_hinfluenzae,1.0
patho_klebsiella,0.7000171220330192
patho_nmeningitidis,1.0
patho_othergneg,0.03255766129292311
patho_othergpos,0.5955062040373948
patho_paeruginosa,0.01666373763531695
patho_sagalactiae,0.019891566902416773
patho_saureus,0.03708430453783297
patho_spneumoniae,0.0624240191042384
patho_spyogenes,0.08583290419594386
patho_viridansgroup,0.011862344565259005
cahai_ca,3.5884644770580566e-05
cahai_eos,0.05523224691485324
cahai_hai,1.0
cahai_los.ca,0.1477941123679203
cahai_los.hai,0.00018368358208727245
cate_comorbidity,1.6038026038311668e-24
cate_healthy,2.1716152292934833e-11
cate_neonate,1.938677332719396e-07
eth_african,0.7000171220330192
eth_asian,0.22545925017805957
eth_caucasian,0.5084804214773332
eth_jewish,1.0
eth_mixed,0.7490079025811106
