,F_stat,p-value
P20711,5.912483823216933,0.016555202280451705
Q13291,0.04154825794602376,0.8325841464751672
P14784,0.01753845594474603,0.8968314877754632
Q96D42,12.571480414624654,0.000548185505975222
Q04759,54.69371296104124,0.0001096371011950444
Q13651,0.30247395788262,0.5791031685122245
P31431,26.780384394765466,0.0001096371011950444
Q12968,0.7208573166724471,0.40116215327266747
Q12913,31.66652960347521,0.0001096371011950444
Q16820,2.4764248732637455,0.11972371450498849
Q11201,4.980119422425383,0.028834557614296676
O95760,0.8404537019661213,0.3750685231882469
P53582,7.104397149677045,0.0067975002740927526
psofa.ren,4.78442777948412,0.031794759346562874
P29017,6.425974228599709,0.012608266637430107
O43854,3.4385892018737803,0.06501480100866133
P01583,0.446230012627971,0.5252713518254577
Q6UWV6,14.731276293410504,0.0002192742023900888
Q9BZR6,15.108492326697354,0.0002192742023900888
Q06418,20.107399444736192,0.0001096371011950444
P49771,40.63492448281459,0.0001096371011950444
P49788,0.287931698174235,0.6068413551145708
P68106,26.387191514170937,0.0001096371011950444
Q9GZV9,5.466851828962464,0.019076855607937725
P01588,22.411910735131492,0.0001096371011950444
Q9BYZ8,5.831248157404136,0.017322661988817014
Q15517,9.06679008261422,0.00274092752987611
pelod.cns,1.8813306468502986,0.17991448306106786
P63241,4.041498677992655,0.044731937287578113
Q9UHC6,10.976158868433417,0.0007674597083653108
P12724,14.095205155570628,0.0003289113035851332
P19022,2.192704936171971,0.1421993202499726
pelod.ren,2.0284111027334673,0.14921609472645544
Q86SJ6,7.241122899857777,0.008113145488433286
P43234,1.5677214625936913,0.21675254906260277
Q9UQQ2,37.17380561173002,0.0001096371011950444
P15514,12.809119551379409,0.000548185505975222
O75791,55.737162574579145,0.0001096371011950444
Q16773,6.997607550374501,0.00822278258962833
Q8NDB2,59.23588519491301,0.0001096371011950444
Q9UHL4,7.016710873958891,0.009538427803968862
Q9GZM7,15.57395449947357,0.0002192742023900888
rr.high,0.8218694012132977,0.3708474947922377
P20936,1.8472589858271862,0.17837956364433724
Q9NPH0,0.08352091806347997,0.7799583379015459
P55957,50.864203881775765,0.0001096371011950444
P07947,55.34390878552208,0.0001096371011950444
P49763,29.87491725166658,0.0001096371011950444
Q641Q3,28.142078879585195,0.0001096371011950444
O15444,11.074431897805715,0.0009867339107553995
Q8WX77,27.99436203741878,0.0001096371011950444
P40259,2.556451271569448,0.11544786755838175
P03956,4.732258456987885,0.02960201732266199
gcs.low,1.4299024294729046,0.23451375945619998
Q8N1Q1,55.958514095585635,0.0001096371011950444
Q07954,5.523314422535751,0.020831049227058435
O95831,0.0077799427406237825,0.9296129810327814
Q03426,2.4722473762161674,0.11687314987391734
Q9UNE0,0.07339384693247039,0.7889485801995395
P01258,0.9629781186851089,0.33307751343054487
Q96RT1,49.95864949309067,0.0001096371011950444
Q9NQX5,13.226809661868044,0.0006578226071702664
Q9Y653,11.958862187093553,0.000548185505975222
P42768,38.80973961058025,0.0001096371011950444
Q9BXN2,15.333146271549502,0.0001096371011950444
Q9H6B4,15.625486002650177,0.0002192742023900888
Q13261,18.3566925245371,0.0001096371011950444
Q9UBU3,15.132648251386236,0.0003289113035851332
P21246,2.9612544167243833,0.08650367284289004
O43827,8.735617194048878,0.003289113035851332
psofa.cns,1.6162799797334364,0.1938383949128385
P98073,1.7041656931847908,0.1948251288235939
Q03403,18.08525690776931,0.0001096371011950444
Q7L8A9,13.467666101941607,0.0004385484047801776
O00161,58.69034123652572,0.0001096371011950444
Q92692,14.647038990662166,0.0001096371011950444
P78556,27.01034339144084,0.0001096371011950444
Q8NC01,14.599737679048284,0.0002192742023900888
psofa.score,16.038499663601872,0.0002192742023900888
O15357,47.99312723625009,0.0001096371011950444
Q9UQV4,24.53642433505978,0.0001096371011950444
Q15155,19.150131242235314,0.0001096371011950444
Q9UHX3,16.310908397777954,0.0004385484047801776
Q13308,6.758662301056289,0.009319153601578775
Q13007,11.517144181203399,0.0006578226071702664
lactate.high,2.1746143418197135,0.13792347330336585
P21583,5.951580577163998,0.015568468369696305
alat.high,2.743694364223422,0.09384935862295801
temp.low,0.130756150126716,0.7211380331104046
P13232,0.01722513810029441,0.8994627782041443
P00813,6.394711352870765,0.00942879070277382
O00186,9.572844623866017,0.00274092752987611
P52294,2.8838962887499697,0.09231443920622738
O43240,11.069817813407266,0.0012060081131454884
pelod.cvs,7.2885089135582275,0.007016774476482842
P42830,0.4408463829302283,0.5067426817234952
psofa.cvs,1.3410610736107216,0.2251946058546212
Q76M96,19.49806210435731,0.0001096371011950444
ccc.summary,0.19171458475604725,0.6841355114570771
psofa.hem,31.23485331169333,0.0001096371011950444
O60240,6.218525898759839,0.012388992435040018
Q9Y286,16.681704229691462,0.0001096371011950444
Q0Z7S8,0.609160785905219,0.43767130797061726
P35070,20.009426319809332,0.0001096371011950444
P50225,62.43827579569301,0.0001096371011950444
P09038,25.08035031162903,0.0001096371011950444
Q9Y478,25.36787090917265,0.0001096371011950444
P46109,60.18917946307872,0.0001096371011950444
P09238,10.113437868385423,0.0014252823155355772
P00352,1.7059035351821044,0.19855279026422543
Q9P0M4,2.375425497687858,0.1232321017432299
sato2.low,1.3344024850391556,0.2456967437780945
P30048,1.7169698936656157,0.1910974673829624
Q86VZ4,24.227176002411813,0.0001096371011950444
P78423,28.935394371208087,0.0001096371011950444
bili.high,0.26882450035642685,0.6118298432189453
Q9NYY1,0.5515660987923352,0.49797171362789167
O75475,0.10934499756751695,0.7493695866681285
P01229,0.9574611625982701,0.3273763841684026
P35225,3.3055606853145547,0.06731718013375726
P78362,3.0394942717667,0.07860980155684684
Q07065,7.978368473625636,0.004385484047801776
crea.high,4.318311040614728,0.03486459818002412
Q8IUK5,5.802639344456839,0.017322661988817014
P10145,25.55773405821989,0.0001096371011950444
psofa.hep,0.4331507732292711,0.5196798596645105
Q96P31,0.35328019647164965,0.5576142966779958
Q96LA6,6.471149038455577,0.011511895625479662
O15169,83.84953442219597,0.0001096371011950444
P05112,0.10462176744779227,0.7526586997039798
Q9Y4K4,56.69118848545895,0.0001096371011950444
P52888,1.7151524140746695,0.19241311259730293
Q9GZY6,20.981229246317202,0.0001096371011950444
P58499,12.55359702718271,0.0004385484047801776
Q9C035,37.531635039149606,0.0001096371011950444
P28845,0.6855559456396453,0.41398969411248765
Q9Y3P8,7.330700792546893,0.008003508387238241
age.at.bc,1.5582106649895628,0.20842012937177942
P35240,1.0715283977281413,0.3132331981142419
P25786,9.590684430871445,0.001973467821510799
P09417,15.3960278966534,0.0003289113035851332
O43570,15.86656531905677,0.0001096371011950444
P78310,10.462702974785547,0.001096371011950444
P18564,7.090165668909323,0.008003508387238241
Q02246,1.2298502835736471,0.26784343821949347
Q6ZUJ8,0.07782968494515091,0.7840149106457626
Q9NP99,9.371265891278954,0.0024120162262909767
P07332,24.840265535872923,0.0001096371011950444
P20472,33.24504729807783,0.0001096371011950444
O95841,7.469115208076514,0.007564959982458064
pelod.score,17.62933266126161,0.0003289113035851332
Q9UNK0,37.252753316273214,0.0001096371011950444
P22466,0.044229736272971394,0.8375178160289442
Q9NSA1,16.41770266381996,0.0001096371011950444
Q8NHJ6,32.61985989590636,0.0001096371011950444
Q15846,2.8200693567933457,0.09352044731937288
Q13145,3.5562844250267505,0.0644666155026861
platelets.low,15.408660932238117,0.0001096371011950444
Q01973,7.587413083794655,0.005372217958557176
P39905,2.081572496311545,0.14548843328582392
Q96JA1,10.606194777497787,0.0006578226071702664
P42658,0.18180886905894747,0.6639622848371889
Q5T4W7,3.840072691011067,0.04977524394255016
P35754,9.819686201789214,0.0020831049227058437
P00749,12.464277228236977,0.0002192742023900888
P43629,0.6160000483673306,0.4299967108869642
Q9UKL0,0.0776318480041681,0.7858787413660783
Q00978,28.88543831198172,0.0001096371011950444
Q92520,1.915435812929304,0.170376055257099
Q15116,1.9245625171654774,0.16588093410810217
Q9UN19,21.581489138882237,0.0001096371011950444
Q12778,50.64119749586594,0.0001096371011950444
Q8NBJ7,2.7771050257808545,0.1027299638197566
P55773,18.89464849501756,0.0002192742023900888
pelod.hem,26.004099430438117,0.0001096371011950444
Q9GZT9,9.428206157124672,0.0028505646310711544
Q8N608,11.215902856294946,0.0007674597083653108
O95502,4.989827059107218,0.02510689617366517
Q8N8S7,4.303360309257711,0.040017541936191205
Q13275,12.718261260528282,0.0003289113035851332
O75354,5.755666896568925,0.017541936191207103
paco2.high,0.021125033277299005,0.8874026970726894
P19429,3.684066705448612,0.0587654862405438
O00273,0.09093586485604942,0.7606622080912181
Q9NWZ3,45.66291554467832,0.0001096371011950444
P50452,0.8707884595280694,0.35621094178269924
Q9Y5V3,0.6881322617407309,0.4121258633921719
P01137,0.15357816542100372,0.6972919636004824
Q15661,1.2954508434350265,0.25841464751671966
Q08334,16.168806775355456,0.0001096371011950444
Q6EIG7,0.4035640885792622,0.5250520776230676
P09467,3.1875738195977843,0.07444359171143515
P50995,19.186823616377627,0.0002192742023900888
Q96DB9,0.353282101534291,0.555640828856485
Q02880,15.719865602348477,0.0003289113035851332
lymph.low,1.7487975417110166,0.1829843218945291
P09668,1.0054721459537095,0.3214559807038702
Q6DN72,3.541994442220133,0.05766911522859335
Q7Z6M3,35.36261159963859,0.0001096371011950444
wcc.high,3.123776368666562,0.07488214011621533
P23526,2.391004898148078,0.12498629536235062
Q99731,15.793463468445433,0.0001096371011950444
P42702,25.687678469855,0.0001096371011950444
pao2.low,0.5231996561301279,0.4806490516390747
Q96PD2,10.535442599757983,0.0013156452143405328
Q9H4D0,5.744232933766578,0.016335928078061616
P50135,0.6165483446333136,0.42944852538098893
P01375,12.509815063489418,0.0003289113035851332
P27540,0.2625375164484572,0.6158315974125644
O95750,7.1802994661996244,0.007016774476482842
Q01151,10.926376730716623,0.0009867339107553995
Q02790,4.883957598791638,0.028834557614296676
Q14435,5.629855788417911,0.017541936191207103
P40121,9.14141483435134,0.003179475934656288
Q9NQ88,5.572268428732485,0.019734678215107992
Q9NRJ3,0.31208241724440244,0.5810766363337353
P01135,3.3230842331243746,0.06753645433614736
Q9P0J1,0.8324140834147483,0.3807696524503892
P16278,17.16315625244022,0.0002192742023900888
P27695,14.667320687730324,0.000548185505975222
O60934,19.960389422682006,0.0001096371011950444
cap.refill,0.810876415175908,0.35862295800899024
Q05084,12.834022136825892,0.0004385484047801776
P13611,22.657019858478634,0.0001096371011950444
Q8N6P7,5.658665382745685,0.013814274750575594
