,View,KCC_space,TSNE,perplexity,random_state,silhouette_score
1,proteome,3,True,5,0,0.42132189869880676
2,proteome,3,True,5,1,0.4217813313007355
3,proteome,3,True,5,2,0.44055160880088806
4,proteome,3,True,5,3,0.4066905379295349
5,proteome,3,True,5,4,0.43735477328300476
6,proteome,3,True,5,5,0.451302707195282
7,proteome,3,True,5,6,0.42354270815849304
8,proteome,3,True,5,7,0.48781904578208923
9,proteome,3,True,5,8,0.43458276987075806
10,proteome,3,True,5,9,0.38326317071914673
11,proteome,3,True,10,0,0.4556320905685425
12,proteome,3,True,10,1,0.4589780569076538
13,proteome,3,True,10,2,0.49346956610679626
14,proteome,3,True,10,3,0.48403695225715637
15,proteome,3,True,10,4,0.4788525700569153
16,proteome,3,True,10,5,0.4434126913547516
17,proteome,3,True,10,6,0.45868322253227234
18,proteome,3,True,10,7,0.47314026951789856
19,proteome,3,True,10,8,0.4347984790802002
20,proteome,3,True,10,9,0.4930937886238098
21,proteome,3,True,20,0,0.5031628012657166
22,proteome,3,True,20,1,0.5215139985084534
23,proteome,3,True,20,2,0.5050453543663025
24,proteome,3,True,20,3,0.516948401927948
25,proteome,3,True,20,4,0.47811535000801086
26,proteome,3,True,20,5,0.49575570225715637
27,proteome,3,True,20,6,0.5067102313041687
28,proteome,3,True,20,7,0.5288313627243042
29,proteome,3,True,20,8,0.5985547304153442
30,proteome,3,True,20,9,0.4841713011264801
31,proteome,3,True,30,0,0.5618561506271362
32,proteome,3,True,30,1,0.49676236510276794
33,proteome,3,True,30,2,0.49815601110458374
34,proteome,3,True,30,3,0.5214418768882751
35,proteome,3,True,30,4,0.565118670463562
36,proteome,3,True,30,5,0.5497920513153076
37,proteome,3,True,30,6,0.5742764472961426
38,proteome,3,True,30,7,0.49550768733024597
39,proteome,3,True,30,8,0.5001592040061951
40,proteome,3,True,30,9,0.49116700887680054
41,proteome,3,True,50,0,0.5266960859298706
42,proteome,3,True,50,1,0.4875302314758301
43,proteome,3,True,50,2,0.5668338537216187
44,proteome,3,True,50,3,0.5236837863922119
45,proteome,3,True,50,4,0.5600996613502502
46,proteome,3,True,50,5,0.49815937876701355
47,proteome,3,True,50,6,0.46591201424598694
48,proteome,3,True,50,7,0.555510938167572
49,proteome,3,True,50,8,0.53737872838974
50,proteome,3,True,50,9,0.46673911809921265
51,proteome,3,False,NA,NA,0.37932099302447675
52,proteome,4,True,5,0,0.4458548426628113
53,proteome,4,True,5,1,0.4583580195903778
54,proteome,4,True,5,2,0.4480503797531128
55,proteome,4,True,5,3,0.45873579382896423
56,proteome,4,True,5,4,0.44138890504837036
57,proteome,4,True,5,5,0.4604674279689789
58,proteome,4,True,5,6,0.49295899271965027
59,proteome,4,True,5,7,0.4459386169910431
60,proteome,4,True,5,8,0.4265075922012329
61,proteome,4,True,5,9,0.45129355788230896
62,proteome,4,True,10,0,0.4860840141773224
63,proteome,4,True,10,1,0.4644612669944763
64,proteome,4,True,10,2,0.46797606348991394
65,proteome,4,True,10,3,0.4845030903816223
66,proteome,4,True,10,4,0.47375380992889404
67,proteome,4,True,10,5,0.4625495672225952
68,proteome,4,True,10,6,0.4762324094772339
69,proteome,4,True,10,7,0.4908067286014557
70,proteome,4,True,10,8,0.45835739374160767
71,proteome,4,True,10,9,0.48686733841896057
72,proteome,4,True,20,0,0.49624183773994446
73,proteome,4,True,20,1,0.47849133610725403
74,proteome,4,True,20,2,0.46569788455963135
75,proteome,4,True,20,3,0.49002397060394287
76,proteome,4,True,20,4,0.46170690655708313
77,proteome,4,True,20,5,0.4860188364982605
78,proteome,4,True,20,6,0.4903014004230499
79,proteome,4,True,20,7,0.47510403394699097
80,proteome,4,True,20,8,0.4967316687107086
