,View,KCC_space,TSNE,perplexity,random_state,eps,min_samples,n_state,silhouette_score,DBSCAN_clusters,outlier_ratio
0,proteome,3,True,30,1,0.3020408163265306,2,0,0.9752218,6,0.9689922480620154
1,proteome,3,True,30,3,0.3020408163265306,2,0,0.98560476,2,0.9896640826873385
2,proteome,3,True,30,0,0.5040816326530613,2,0,0.86392736,17,0.9095607235142119
3,proteome,3,True,30,1,0.5040816326530613,2,0,0.817665,32,0.8320413436692506
4,proteome,3,True,30,2,0.5040816326530613,2,0,0.9181894,8,0.9560723514211886
5,proteome,3,True,30,3,0.5040816326530613,2,0,0.7760448,30,0.8397932816537468
6,proteome,3,True,30,4,0.5040816326530613,2,0,0.8753814,12,0.9354005167958657
7,proteome,3,True,30,3,0.5040816326530613,3,0,0.96592474,2,0.9844961240310077
8,proteome,3,True,30,0,0.7061224489795919,2,0,0.59755814,73,0.5297157622739018
9,proteome,3,True,30,1,0.7061224489795919,2,0,0.5603285,84,0.4263565891472868
10,proteome,3,True,30,2,0.7061224489795919,2,0,0.6201543,59,0.661498708010336
11,proteome,3,True,30,3,0.7061224489795919,2,0,0.5480479,82,0.4496124031007752
12,proteome,3,True,30,4,0.7061224489795919,2,0,0.60320765,68,0.5839793281653747
13,proteome,3,True,30,0,0.7061224489795919,3,0,0.7348196,28,0.7622739018087855
14,proteome,3,True,30,1,0.7061224489795919,3,0,0.63796407,32,0.6950904392764858
15,proteome,3,True,30,2,0.7061224489795919,3,0,0.8213612,11,0.9095607235142119
16,proteome,3,True,30,3,0.7061224489795919,3,0,0.5987869,32,0.7080103359173127
17,proteome,3,True,30,4,0.7061224489795919,3,0,0.71507794,22,0.8217054263565892
18,proteome,3,True,30,0,0.7061224489795919,4,0,0.8129663,2,0.979328165374677
19,proteome,3,True,30,1,0.7061224489795919,4,0,0.72233087,6,0.9405684754521964
20,proteome,3,True,30,3,0.7061224489795919,4,0,0.958729,4,0.9560723514211886
21,proteome,3,True,30,0,0.9081632653061225,2,0,0.43051857,80,0.21705426356589147
22,proteome,3,True,30,1,0.9081632653061225,2,0,0.4094005,76,0.165374677002584
23,proteome,3,True,30,2,0.9081632653061225,2,0,0.45087126,77,0.3152454780361757
24,proteome,3,True,30,3,0.9081632653061225,2,0,0.40039486,71,0.19638242894056848
25,proteome,3,True,30,4,0.9081632653061225,2,0,0.42894375,79,0.21705426356589147
26,proteome,3,True,30,0,0.9081632653061225,3,0,0.4919608,48,0.38242894056847543
27,proteome,3,True,30,1,0.9081632653061225,3,0,0.46386802,50,0.2997416020671835
28,proteome,3,True,30,2,0.9081632653061225,3,0,0.5037827,40,0.5064599483204134
29,proteome,3,True,30,3,0.9081632653061225,3,0,0.48591033,46,0.32558139534883723
30,proteome,3,True,30,4,0.9081632653061225,3,0,0.47561,49,0.37209302325581395
31,proteome,3,True,30,0,0.9081632653061225,4,0,0.62797356,24,0.689922480620155
32,proteome,3,True,30,1,0.9081632653061225,4,0,0.6273573,27,0.6175710594315246
33,proteome,3,True,30,2,0.9081632653061225,4,0,0.6656407,19,0.7700258397932817
34,proteome,3,True,30,3,0.9081632653061225,4,0,0.5839817,27,0.6020671834625323
35,proteome,3,True,30,4,0.9081632653061225,4,0,0.6907275,22,0.7028423772609819
36,proteome,3,True,30,0,0.9081632653061225,5,0,0.8446238,7,0.9095607235142119
37,proteome,3,True,30,1,0.9081632653061225,5,0,0.8170481,10,0.8475452196382429
38,proteome,3,True,30,2,0.9081632653061225,5,0,0.8627248,4,0.9483204134366925
39,proteome,3,True,30,3,0.9081632653061225,5,0,0.774827,13,0.813953488372093
40,proteome,3,True,30,4,0.9081632653061225,5,0,0.85449743,8,0.896640826873385
41,proteome,3,True,30,0,1.1102040816326533,2,0,0.34987256,50,0.08527131782945736
42,proteome,3,True,30,1,1.1102040816326533,2,0,0.30526242,39,0.06718346253229975
43,proteome,3,True,30,2,1.1102040816326533,2,0,0.38917896,56,0.11886304909560723
44,proteome,3,True,30,3,1.1102040816326533,2,0,0.29020014,39,0.08785529715762273
45,proteome,3,True,30,4,1.1102040816326533,2,0,0.36683246,49,0.09043927648578812
46,proteome,3,True,30,0,1.1102040816326533,3,0,0.4208485,36,0.15762273901808785
47,proteome,3,True,30,1,1.1102040816326533,3,0,0.36232373,30,0.11369509043927649
48,proteome,3,True,30,2,1.1102040816326533,3,0,0.4422042,41,0.19638242894056848
49,proteome,3,True,30,3,1.1102040816326533,3,0,0.36394486,29,0.13953488372093023
50,proteome,3,True,30,4,1.1102040816326533,3,0,0.42234132,37,0.1524547803617571
51,proteome,3,True,30,0,1.1102040816326533,4,0,0.5172773,34,0.2971576227390181
52,proteome,3,True,30,1,1.1102040816326533,4,0,0.48309875,30,0.25064599483204136
53,proteome,3,True,30,2,1.1102040816326533,4,0,0.525319,32,0.4186046511627907
54,proteome,3,True,30,3,1.1102040816326533,4,0,0.4726269,30,0.25839793281653745
55,proteome,3,True,30,4,1.1102040816326533,4,0,0.5238655,28,0.35142118863049093
56,proteome,3,True,30,0,1.1102040816326533,5,0,0.5924783,24,0.5503875968992248
57,proteome,3,True,30,1,1.1102040816326533,5,0,0.5771492,28,0.40310077519379844
58,proteome,3,True,30,2,1.1102040816326533,5,0,0.6422136,20,0.648578811369509
59,proteome,3,True,30,3,1.1102040816326533,5,0,0.5863996,29,0.45478036175710596
60,proteome,3,True,30,4,1.1102040816326533,5,0,0.5730954,26,0.5452196382428941
61,proteome,3,True,30,0,1.1102040816326533,6,0,0.8194055,8,0.8578811369509044
62,proteome,3,True,30,1,1.1102040816326533,6,0,0.6668652,17,0.6718346253229974
63,proteome,3,True,30,2,1.1102040816326533,6,0,0.92227376,3,0.9483204134366925
64,proteome,3,True,30,3,1.1102040816326533,6,0,0.67639935,13,0.7338501291989664
65,proteome,3,True,30,4,1.1102040816326533,6,0,0.82700264,8,0.8682170542635659
66,proteome,3,True,30,1,1.1102040816326533,7,0,0.8991105,3,0.937984496124031
67,proteome,3,True,30,3,1.1102040816326533,7,0,0.6627061,4,0.9354005167958657
68,proteome,3,True,30,0,1.3122448979591839,2,0,0.21457332,26,0.031007751937984496
69,proteome,3,True,30,1,1.3122448979591839,2,0,0.27918077,18,0.012919896640826873
70,proteome,3,True,30,2,1.3122448979591839,2,0,0.25517896,37,0.056847545219638244
71,proteome,3,True,30,3,1.3122448979591839,2,0,0.3242594,24,0.028423772609819122
72,proteome,3,True,30,4,1.3122448979591839,2,0,0.24932538,27,0.025839793281653745
73,proteome,3,True,30,0,1.3122448979591839,3,0,0.27629775,20,0.06201550387596899
74,proteome,3,True,30,1,1.3122448979591839,3,0,0.3606177,15,0.028423772609819122
75,proteome,3,True,30,2,1.3122448979591839,3,0,0.3314636,26,0.11369509043927649
76,proteome,3,True,30,3,1.3122448979591839,3,0,0.36354724,20,0.04909560723514212
77,proteome,3,True,30,4,1.3122448979591839,3,0,0.30280712,22,0.05167958656330749
78,proteome,3,True,30,0,1.3122448979591839,4,0,0.37504926,25,0.11627906976744186
79,proteome,3,True,30,1,1.3122448979591839,4,0,0.38624364,22,0.05426356589147287
80,proteome,3,True,30,2,1.3122448979591839,4,0,0.44307256,30,0.18863049095607234
81,proteome,3,True,30,3,1.3122448979591839,4,0,0.36343315,24,0.082687338501292
82,proteome,3,True,30,4,1.3122448979591839,4,0,0.4315565,27,0.09819121447028424
83,proteome,3,True,30,0,1.3122448979591839,5,0,0.47299638,26,0.28940568475452194
84,proteome,3,True,30,1,1.3122448979591839,5,0,0.46563986,24,0.20155038759689922
85,proteome,3,True,30,2,1.3122448979591839,5,0,0.5217746,27,0.3772609819121447
86,proteome,3,True,30,3,1.3122448979591839,5,0,0.41814283,25,0.19638242894056848
87,proteome,3,True,30,4,1.3122448979591839,5,0,0.4770926,26,0.3049095607235142
88,proteome,3,True,30,0,1.3122448979591839,6,0,0.58909917,18,0.5142118863049095
89,proteome,3,True,30,1,1.3122448979591839,6,0,0.4942966,21,0.3281653746770026
90,proteome,3,True,30,2,1.3122448979591839,6,0,0.6370432,17,0.6098191214470284
91,proteome,3,True,30,3,1.3122448979591839,6,0,0.610025,20,0.4263565891472868
92,proteome,3,True,30,4,1.3122448979591839,6,0,0.52728677,23,0.4909560723514212
93,proteome,3,True,30,0,1.3122448979591839,7,0,0.6825622,12,0.7209302325581395
94,proteome,3,True,30,1,1.3122448979591839,7,0,0.65078646,17,0.5607235142118863
95,proteome,3,True,30,2,1.3122448979591839,7,0,0.82754153,9,0.8294573643410853
96,proteome,3,True,30,3,1.3122448979591839,7,0,0.668685,15,0.58656330749354
97,proteome,3,True,30,4,1.3122448979591839,7,0,0.7312733,10,0.772609819121447
98,proteome,3,True,30,1,1.3122448979591839,8,0,0.8052039,7,0.8036175710594315
99,proteome,3,True,30,3,1.3122448979591839,8,0,0.8242366,7,0.8372093023255814
100,proteome,3,True,30,4,1.3122448979591839,8,0,0.96988815,2,0.9534883720930233
101,proteome,3,True,30,1,1.3122448979591839,9,0,0.8458822,4,0.8888888888888888
102,proteome,3,True,30,0,1.5142857142857145,2,0,0.10326552,14,0.00516795865633075
103,proteome,3,True,30,1,1.5142857142857145,2,0,0.12330765,12,0.00516795865633075
104,proteome,3,True,30,2,1.5142857142857145,2,0,0.13985217,17,0.0103359173126615
105,proteome,3,True,30,3,1.5142857142857145,2,0,0.19802071,15,0.012919896640826873
106,proteome,3,True,30,4,1.5142857142857145,2,0,0.18345508,14,0.00516795865633075
107,proteome,3,True,30,0,1.5142857142857145,3,0,0.18457736,11,0.020671834625323
108,proteome,3,True,30,1,1.5142857142857145,3,0,0.21328361,9,0.020671834625323
109,proteome,3,True,30,2,1.5142857142857145,3,0,0.22105084,14,0.025839793281653745
110,proteome,3,True,30,3,1.5142857142857145,3,0,0.26626408,12,0.028423772609819122
111,proteome,3,True,30,4,1.5142857142857145,3,0,0.2659739,11,0.020671834625323
112,proteome,3,True,30,0,1.5142857142857145,4,0,0.35259864,16,0.025839793281653745
113,proteome,3,True,30,1,1.5142857142857145,4,0,0.18747728,10,0.025839793281653745
114,proteome,3,True,30,2,1.5142857142857145,4,0,0.3016542,19,0.04392764857881137
115,proteome,3,True,30,3,1.5142857142857145,4,0,0.3496741,15,0.03617571059431524
116,proteome,3,True,30,4,1.5142857142857145,4,0,0.3232277,13,0.020671834625323
117,proteome,3,True,30,0,1.5142857142857145,5,0,0.374862,20,0.07751937984496124
118,proteome,3,True,30,1,1.5142857142857145,5,0,0.31344253,16,0.07493540051679587
119,proteome,3,True,30,2,1.5142857142857145,5,0,0.4146587,21,0.1524547803617571
120,proteome,3,True,30,3,1.5142857142857145,5,0,0.38312912,18,0.06976744186046512
121,proteome,3,True,30,4,1.5142857142857145,5,0,0.4204625,23,0.07235142118863049
122,proteome,3,True,30,0,1.5142857142857145,6,0,0.36608595,22,0.18604651162790697
123,proteome,3,True,30,1,1.5142857142857145,6,0,0.38561088,21,0.12144702842377261
124,proteome,3,True,30,2,1.5142857142857145,6,0,0.4370502,21,0.30749354005167956
125,proteome,3,True,30,3,1.5142857142857145,6,0,0.41409183,19,0.16279069767441862
126,proteome,3,True,30,4,1.5142857142857145,6,0,0.4344901,22,0.19121447028423771
127,proteome,3,True,30,0,1.5142857142857145,7,0,0.50850767,20,0.35917312661498707
128,proteome,3,True,30,1,1.5142857142857145,7,0,0.55769867,19,0.2739018087855297
129,proteome,3,True,30,2,1.5142857142857145,7,0,0.5870733,17,0.5116279069767442
130,proteome,3,True,30,3,1.5142857142857145,7,0,0.57817316,19,0.330749354005168
131,proteome,3,True,30,4,1.5142857142857145,7,0,0.5324235,21,0.36175710594315247
132,proteome,3,True,30,0,1.5142857142857145,8,0,0.63541096,14,0.5943152454780362
133,proteome,3,True,30,1,1.5142857142857145,8,0,0.546906,18,0.4160206718346253
134,proteome,3,True,30,2,1.5142857142857145,8,0,0.704974,10,0.751937984496124
135,proteome,3,True,30,3,1.5142857142857145,8,0,0.62173975,15,0.5219638242894057
136,proteome,3,True,30,4,1.5142857142857145,8,0,0.62077516,14,0.6175710594315246
137,proteome,3,True,30,0,1.5142857142857145,9,0,0.7099672,8,0.7906976744186046
138,proteome,3,True,30,1,1.5142857142857145,9,0,0.7303272,11,0.6201550387596899
139,proteome,3,True,30,2,1.5142857142857145,9,0,0.8938982,4,0.8992248062015504
140,proteome,3,True,30,3,1.5142857142857145,9,0,0.6538677,11,0.6459948320413437
141,proteome,3,True,30,4,1.5142857142857145,9,0,0.7322524,7,0.8036175710594315
142,proteome,3,True,30,0,1.5142857142857145,10,0,0.9038944,3,0.9069767441860465
143,proteome,3,True,30,1,1.5142857142857145,10,0,0.791629,8,0.751937984496124
144,proteome,3,True,30,3,1.5142857142857145,10,0,0.73646605,4,0.8475452196382429
145,proteome,3,True,30,4,1.5142857142857145,10,0,0.9559543,3,0.9198966408268734
146,proteome,3,True,30,1,1.5142857142857145,11,0,0.85800916,4,0.8863049095607235
147,proteome,3,True,30,3,1.5142857142857145,11,0,0.7787734,4,0.8837209302325582
148,proteome,3,True,30,0,1.716326530612245,2,0,0.24760218,9,0.002583979328165375
149,proteome,3,True,30,1,1.716326530612245,2,0,0.17194842,7,0.0
150,proteome,3,True,30,2,1.716326530612245,2,0,0.19640297,11,0.0
151,proteome,3,True,30,3,1.716326530612245,2,0,0.3249674,9,0.0
152,proteome,3,True,30,4,1.716326530612245,2,0,0.026714463,9,0.002583979328165375
153,proteome,3,True,30,0,1.716326530612245,3,0,0.29533187,7,0.012919896640826873
154,proteome,3,True,30,1,1.716326530612245,3,0,0.19790518,6,0.00516795865633075
155,proteome,3,True,30,2,1.716326530612245,3,0,0.27956608,8,0.015503875968992248
156,proteome,3,True,30,3,1.716326530612245,3,0,0.3381976,8,0.00516795865633075
157,proteome,3,True,30,4,1.716326530612245,3,0,0.06784548,7,0.012919896640826873
158,proteome,3,True,30,0,1.716326530612245,4,0,0.2962459,7,0.015503875968992248
159,proteome,3,True,30,1,1.716326530612245,4,0,0.197164,6,0.0103359173126615
160,proteome,3,True,30,2,1.716326530612245,4,0,0.23498105,9,0.020671834625323
161,proteome,3,True,30,3,1.716326530612245,4,0,0.33936548,8,0.015503875968992248
162,proteome,3,True,30,4,1.716326530612245,4,0,0.0681447,7,0.015503875968992248
163,proteome,3,True,30,0,1.716326530612245,5,0,0.21400888,10,0.025839793281653745
164,proteome,3,True,30,1,1.716326530612245,5,0,0.21588318,9,0.012919896640826873
165,proteome,3,True,30,2,1.716326530612245,5,0,0.2754186,16,0.05167958656330749
166,proteome,3,True,30,3,1.716326530612245,5,0,0.37660038,12,0.023255813953488372
167,proteome,3,True,30,4,1.716326530612245,5,0,0.23520811,10,0.020671834625323
168,proteome,3,True,30,0,1.716326530612245,6,0,0.339103,13,0.07751937984496124
169,proteome,3,True,30,1,1.716326530612245,6,0,0.22555947,13,0.06201550387596899
170,proteome,3,True,30,2,1.716326530612245,6,0,0.37894678,19,0.13178294573643412
171,proteome,3,True,30,3,1.716326530612245,6,0,0.34715474,14,0.04392764857881137
172,proteome,3,True,30,4,1.716326530612245,6,0,0.37499487,17,0.059431524547803614
173,proteome,3,True,30,0,1.716326530612245,7,0,0.36465254,20,0.1343669250645995
174,proteome,3,True,30,1,1.716326530612245,7,0,0.47872978,18,0.12919896640826872
175,proteome,3,True,30,2,1.716326530612245,7,0,0.5072483,20,0.268733850129199
