,View,KCC_space,TSNE,perplexity,random_state,eps,min_samples,n_state,silhouette_score,DBSCAN_clusters,outlier_ratio
0,clinical,3,True,30,0,0.3020408163265306,2,0,0.88873196,5,0.9741602067183462
1,clinical,3,True,30,1,0.3020408163265306,2,0,0.8921021,5,0.9741602067183462
2,clinical,3,True,30,2,0.3020408163265306,2,0,0.87649435,4,0.979328165374677
3,clinical,3,True,30,3,0.3020408163265306,2,0,0.90103716,6,0.9689922480620154
4,clinical,3,True,30,4,0.3020408163265306,2,0,0.9041074,6,0.9689922480620154
5,clinical,3,True,30,0,0.5040816326530613,2,0,0.754042,48,0.7364341085271318
6,clinical,3,True,30,1,0.5040816326530613,2,0,0.7562521,48,0.7364341085271318
7,clinical,3,True,30,2,0.5040816326530613,2,0,0.77085584,44,0.7571059431524548
8,clinical,3,True,30,3,0.5040816326530613,2,0,0.7528693,50,0.7260981912144703
9,clinical,3,True,30,4,0.5040816326530613,2,0,0.73578346,51,0.7183462532299741
10,clinical,3,True,30,0,0.5040816326530613,3,0,0.905303,5,0.958656330749354
11,clinical,3,True,30,1,0.5040816326530613,3,0,0.905298,5,0.958656330749354
12,clinical,3,True,30,2,0.5040816326530613,3,0,0.904387,5,0.958656330749354
13,clinical,3,True,30,3,0.5040816326530613,3,0,0.90608865,5,0.958656330749354
14,clinical,3,True,30,4,0.5040816326530613,3,0,0.9135686,6,0.9509043927648578
15,clinical,3,True,30,0,0.7061224489795919,2,0,0.49251384,83,0.35658914728682173
16,clinical,3,True,30,1,0.7061224489795919,2,0,0.49738258,86,0.34366925064599485
17,clinical,3,True,30,2,0.7061224489795919,2,0,0.49150616,86,0.36175710594315247
18,clinical,3,True,30,3,0.7061224489795919,2,0,0.47659698,86,0.3281653746770026
19,clinical,3,True,30,4,0.7061224489795919,2,0,0.4960664,84,0.34366925064599485
20,clinical,3,True,30,0,0.7061224489795919,3,0,0.57490087,38,0.5891472868217055
21,clinical,3,True,30,1,0.7061224489795919,3,0,0.5990414,38,0.5917312661498708
22,clinical,3,True,30,2,0.7061224489795919,3,0,0.5797204,37,0.6149870801033591
23,clinical,3,True,30,3,0.7061224489795919,3,0,0.54862547,39,0.5710594315245479
24,clinical,3,True,30,4,0.7061224489795919,3,0,0.60515624,36,0.5917312661498708
25,clinical,3,True,30,0,0.7061224489795919,4,0,0.837976,11,0.8682170542635659
26,clinical,3,True,30,1,0.7061224489795919,4,0,0.83507776,12,0.8527131782945736
