,View,KCC_space,TSNE,perplexity,random_state,silhouette_score
1,clinical,3,True,5,0,0.4448094069957733
2,clinical,3,True,5,1,0.41630929708480835
3,clinical,3,True,5,2,0.42178672552108765
4,clinical,3,True,5,3,0.46743297576904297
5,clinical,3,True,5,4,0.4132615923881531
6,clinical,3,True,5,5,0.4214165210723877
7,clinical,3,True,5,6,0.4394996762275696
8,clinical,3,True,5,7,0.45798006653785706
9,clinical,3,True,5,8,0.44522812962532043
10,clinical,3,True,5,9,0.4427556097507477
11,clinical,3,True,10,0,0.47812458872795105
12,clinical,3,True,10,1,0.4416639506816864
13,clinical,3,True,10,2,0.4570082724094391
14,clinical,3,True,10,3,0.45260319113731384
15,clinical,3,True,10,4,0.48107191920280457
16,clinical,3,True,10,5,0.5264483690261841
17,clinical,3,True,10,6,0.4441300332546234
18,clinical,3,True,10,7,0.4763534367084503
19,clinical,3,True,10,8,0.49911507964134216
20,clinical,3,True,10,9,0.4297930896282196
21,clinical,3,True,20,0,0.49477314949035645
22,clinical,3,True,20,1,0.49287325143814087
23,clinical,3,True,20,2,0.492286741733551
24,clinical,3,True,20,3,0.49840086698532104
25,clinical,3,True,20,4,0.4959990084171295
26,clinical,3,True,20,5,0.5096157193183899
27,clinical,3,True,20,6,0.4871188700199127
28,clinical,3,True,20,7,0.48176926374435425
29,clinical,3,True,20,8,0.48386433720588684
30,clinical,3,True,20,9,0.5145226716995239
31,clinical,3,True,30,0,0.5110305547714233
32,clinical,3,True,30,1,0.5080178380012512
33,clinical,3,True,30,2,0.5106728672981262
34,clinical,3,True,30,3,0.5219647884368896
35,clinical,3,True,30,4,0.4832603931427002
36,clinical,3,True,30,5,0.48262715339660645
37,clinical,3,True,30,6,0.5178210139274597
38,clinical,3,True,30,7,0.5139037370681763
39,clinical,3,True,30,8,0.5015027523040771
40,clinical,3,True,30,9,0.5064290165901184
41,clinical,3,True,50,0,0.498849093914032
42,clinical,3,True,50,1,0.5037506222724915
43,clinical,3,True,50,2,0.504944384098053
44,clinical,3,True,50,3,0.4880288243293762
45,clinical,3,True,50,4,0.5008836984634399
46,clinical,3,True,50,5,0.5019629001617432
47,clinical,3,True,50,6,0.49824759364128113
48,clinical,3,True,50,7,0.4980683922767639
49,clinical,3,True,50,8,0.501396894454956
50,clinical,3,True,50,9,0.5036287307739258
51,clinical,3,False,NA,NA,0.3862571493290897
52,clinical,4,True,5,0,0.4443601369857788
53,clinical,4,True,5,1,0.4669373631477356
54,clinical,4,True,5,2,0.49947383999824524
55,clinical,4,True,5,3,0.4500633180141449
56,clinical,4,True,5,4,0.43037134408950806
57,clinical,4,True,5,5,0.4424201548099518
58,clinical,4,True,5,6,0.4579698145389557
59,clinical,4,True,5,7,0.45819151401519775
60,clinical,4,True,5,8,0.4491027593612671
61,clinical,4,True,5,9,0.4472425580024719
62,clinical,4,True,10,0,0.5061239004135132
63,clinical,4,True,10,1,0.45730164647102356
64,clinical,4,True,10,2,0.5263756513595581
65,clinical,4,True,10,3,0.5013889074325562
66,clinical,4,True,10,4,0.49455636739730835
67,clinical,4,True,10,5,0.5042474865913391
68,clinical,4,True,10,6,0.4758565425872803
69,clinical,4,True,10,7,0.48738566040992737
70,clinical,4,True,10,8,0.5236474275588989
71,clinical,4,True,10,9,0.5024278163909912
72,clinical,4,True,20,0,0.5265390276908875
73,clinical,4,True,20,1,0.5369411110877991
74,clinical,4,True,20,2,0.5251129269599915
75,clinical,4,True,20,3,0.49586471915245056
76,clinical,4,True,20,4,0.5040829181671143
77,clinical,4,True,20,5,0.5047597289085388
78,clinical,4,True,20,6,0.526409924030304
79,clinical,4,True,20,7,0.5304474234580994
80,clinical,4,True,20,8,0.4974200129508972
81,clinical,4,True,20,9,0.5175278186798096
82,clinical,4,True,30,0,0.516728937625885
83,clinical,4,True,30,1,0.5118579864501953
84,clinical,4,True,30,2,0.5027877688407898
