,F_stat,p-value
P21583,10.84133420526543,0.00163855421686747
infections_PC_4,8.672086866488195,0.003469879518072289
temp.high,0.261227031315463,0.6043373493975903
context_PC_22,2.661053887962826,0.1047710843373494
infections_PC_30,5.399500488999567,0.022843373493975902
infections_PC_32,5.72523587669472,0.01821686746987952
Q8IUK5,16.474077594479517,9.63855421686747e-05
P52294,0.16766383810892907,0.6860722891566265
infections_PC_34,0.34646471077266294,0.5569156626506024
Q02246,7.344897796987759,0.006457831325301205
O60880,6.868448458710732,0.00925301204819277
infections_PC_12,2.1806455734739325,0.14361445783132532
P63241,1.7866443878275815,0.18486746987951808
P25786,2.4689330214167753,0.11951807228915663
infections_PC_7,0.05006534065340516,0.8196626506024096
P05412,0.48883709701775396,0.4895421686746988
P01222,7.589430112472687,0.006265060240963855
Q9UKX5,13.472174551836268,0.0001927710843373494
P10747,3.61460533265528,0.05763855421686747
P78556,1.9161034936698618,0.16154216867469878
Q01973,9.047824273322343,0.003951807228915662
P01588,23.600305182625874,9.63855421686747e-05
Q8IZP9,21.332810617490125,0.0001927710843373494
infections_PC_37,3.4160077641092457,0.0663132530120482
P01258,1.1861706986477183,0.275855421686747
infections_PC_28,1.1826518636296321,0.27874698795180725
Q86WD7,18.52793255386611,0.0001927710843373494
Q9UHC6,6.599563002814278,0.011759036144578313
O75688,0.42985207215682336,0.5103614457831326
context_PC_5,0.7639086562159093,0.38679518072289154
infections_PC_3,0.38666954400044057,0.5322409638554216
Q6WN34,1.0548735283820896,0.30621686746987953
infections_PC_25,0.1942619657873757,0.6552289156626506
A6NI73,7.060876220180612,0.007518072289156626
Q16552,0.5275296050502992,0.47836144578313256
Q15846,6.999484869518927,0.009156626506024097
infections_PC_17,0.760141424400163,0.37946987951807226
O14788,27.426933003845086,9.63855421686747e-05
O60240,0.17964099266777417,0.6773975903614458
infections_PC_1,25.980010017178145,9.63855421686747e-05
Q13308,10.279651786024234,0.0019277108433734939
Q03431,13.61592076991782,0.00048192771084337347
P50452,3.698103840651388,0.056385542168674696
Q06418,1.2799750753840102,0.25628915662650603
lymph.low,23.553709965547537,9.63855421686747e-05
context_PC_6,0.7564830849449861,0.38380722891566266
Q8NHJ6,1.276645518499456,0.2551325301204819
O76036,13.745971414902879,0.0003855421686746988
context_PC_4,9.172398967147474,0.0023132530120481927
Q15661,5.329706827950539,0.02159036144578313
Q9P0J1,0.003547535950535597,0.955855421686747
Q9UBU3,3.564853304855629,0.05850602409638554
O14625,2.7739098901337984,0.09879518072289156
P49763,2.729992461116128,0.10014457831325302
P43629,0.0006841666141101276,0.9791807228915662
infections_PC_18,0.49377692940281787,0.4867469879518072
context_PC_7,2.0841985757330463,0.14496385542168674
Q96D42,2.155495328731143,0.1428433734939759
P29474,0.0031165934018332637,0.9531566265060241
Q969D9,0.539688707431583,0.468144578313253
Q01151,12.782885161957829,0.00048192771084337347
Q15155,0.8423589664881203,0.36289156626506025
Q14435,1.7324381507381132,0.19190361445783133
Q07011,10.60474089809576,0.0020240963855421685
P55773,0.0384699250010247,0.8434698795180723
P06850,0.05247624490393957,0.8163855421686746
P31431,37.77616257784141,9.63855421686747e-05
pelod.resp,5.520507286731774,0.01667469879518072
P40121,7.6254782173914295,0.007614457831325301
P09104,4.422298539173788,0.035566265060240965
O00186,1.612574607865314,0.20713253012048194
Q13541,10.514408094007571,0.0012530120481927711
infections_PC_10,0.47101887161735695,0.4963855421686747
infections_PC_13,1.5937358515798423,0.21146987951807228
lactate.high,0.37441024970460707,0.544289156626506
infections_PC_15,0.035654891036983355,0.8564819277108434
Q8NFT8,19.10192481991652,9.63855421686747e-05
Q12933,19.425847975726644,0.0001927710843373494
Q9H6B4,7.774157463680601,0.0070361445783132534
P22466,12.381215349917005,0.0003855421686746988
context_PC_21,0.7472669877473752,0.3909397590361446
Q9UNE0,24.390618394816407,9.63855421686747e-05
Q9HAW4,2.0380441017326967,0.15479518072289156
Q9GZY6,5.466374986810664,0.021204819277108433
P78310,8.737552709361827,0.003566265060240964
P35240,0.01897364864431942,0.8986987951807229
Q13490,21.7272690172446,9.63855421686747e-05
Q9Y286,4.700776607241014,0.031228915662650604
P34130,11.918748331309544,0.0009638554216867469
P20783,8.947585122530672,0.0008674698795180722
O75356,1.7434123494057012,0.19219277108433735
Q14203,12.532750103920506,0.0005783132530120482
P19878,16.992995217570627,9.63855421686747e-05
O14713,0.216502677563256,0.6487710843373494
P18564,8.7125956904977,0.004819277108433735
P80098,1.6958884432892418,0.19518072289156627
temp.low,2.276564036814015,0.13436144578313253
P13611,0.6762659356168556,0.408289156626506
Q6DN72,3.784098303947943,0.05349397590361446
Q13145,17.209630644600285,0.0001927710843373494
Q8WTU2,20.40586347379027,0.0001927710843373494
demographics_PC_6,0.13158928502511025,0.731855421686747
P23582,20.773416651393514,9.63855421686747e-05
O95544,8.729469471557683,0.0033734939759036144
P09038,10.312085649796872,0.0027951807228915665
Q9Y5V3,3.7092753724113217,0.056385542168674696
Q13261,0.12458219168308514,0.7366746987951808
Q9NZQ7,12.907501880639867,0.0005783132530120482
O43854,1.5464222010460142,0.21387951807228917
Q03403,1.929098542692822,0.17127710843373495
P26010,5.940125783668476,0.013879518072289156
Q9NSA1,8.62197393404576,0.004240963855421687
P49771,14.957255066804318,0.0002891566265060241
Q76M96,0.9625189778948623,0.33156626506024095
context_PC_9,1.0006254338839353,0.3219277108433735
Q11201,0.815502067277343,0.36404819277108436
O60449,3.788443018200747,0.05657831325301205
Q9UN19,3.995320250467182,0.04693975903614458
P28845,0.06098417860655373,0.8017349397590361
P00813,7.895794522605268,0.005975903614457831
sato2.low,0.4766995603482193,0.49175903614457833
Q7L8A9,5.344389282451522,0.022265060240963856
Q9HCM2,29.610863349650614,9.63855421686747e-05
Q9P0M4,0.06677133250154849,0.7921927710843374
P15514,0.5153963271165675,0.4773012048192771
O43736,14.247623285615642,0.00048192771084337347
O60760,1.8088087450890629,0.17985542168674698
Q86VZ4,2.9696832653342167,0.08693975903614458
context_PC_18,1.0937844089918667,0.30380722891566264
P09525,1.8430658387737602,0.17956626506024095
P25815,1.8156739104109343,0.18804819277108434
demographics_PC_3,0.4369891230111548,0.5060240963855421
P78410,10.435450954933327,0.0009638554216867469
Q9UKJ0,3.2075618242447974,0.07402409638554217
infections_PC_29,0.5579162897372852,0.46236144578313254
Q8NBJ7,22.366081642246403,9.63855421686747e-05
Q15797,12.340908448343985,0.0006746987951807229
P42658,0.8495443545972344,0.3629879518072289
O95994,2.528653258326813,0.11373493975903615
P30203,14.79617960487304,0.0002891566265060241
psofa.hem,32.093996088860344,9.63855421686747e-05
rr.high,0.013533462335622871,0.9109397590361445
O75354,5.517994696783761,0.018602409638554217
P68106,0.9527279076269802,0.3325301204819277
P09769,3.8430298067741093,0.05310843373493976
wcc.high,56.52793978339037,9.63855421686747e-05
infections_PC_36,0.23169293853338052,0.6339277108433735
P07947,23.865811903587492,9.63855421686747e-05
